======================================================================
 Oblivious Join Complexity (O(N*M)) & Time Log
======================================================================

--- 启动 Join 阶段: Table_A ⨝ Table_B (Pipelined) ---
  [Pairing] Bucket A: 515      | Bucket B: 445      | 扫描次数 (A*B): 229,175     
  [Pairing] Bucket A: 453      | Bucket B: 445      | 扫描次数 (A*B): 201,585     
  [Pairing] Bucket A: 512      | Bucket B: 445      | 扫描次数 (A*B): 227,840     
  [Pairing] Bucket A: 512      | Bucket B: 489      | 扫描次数 (A*B): 250,368     
  [Pairing] Bucket A: 569      | Bucket B: 489      | 扫描次数 (A*B): 278,241     
  [Pairing] Bucket A: 569      | Bucket B: 499      | 扫描次数 (A*B): 283,931     
  [Pairing] Bucket A: 515      | Bucket B: 499      | 扫描次数 (A*B): 256,985     
  [Pairing] Bucket A: 515      | Bucket B: 503      | 扫描次数 (A*B): 259,045     
  [Pairing] Bucket A: 502      | Bucket B: 503      | 扫描次数 (A*B): 252,506     
  [Pairing] Bucket A: 502      | Bucket B: 464      | 扫描次数 (A*B): 232,928     
  [Pairing] Bucket A: 440      | Bucket B: 464      | 扫描次数 (A*B): 204,160     
  [Pairing] Bucket A: 440      | Bucket B: 508      | 扫描次数 (A*B): 223,520     
  [Pairing] Bucket A: 512      | Bucket B: 508      | 扫描次数 (A*B): 260,096     
  [Pairing] Bucket A: 506      | Bucket B: 508      | 扫描次数 (A*B): 257,048     
  [Pairing] Bucket A: 506      | Bucket B: 495      | 扫描次数 (A*B): 250,470     
  [Pairing] Bucket A: 521      | Bucket B: 495      | 扫描次数 (A*B): 257,895     
  [Pairing] Bucket A: 521      | Bucket B: 501      | 扫描次数 (A*B): 261,021     
  [Pairing] Bucket A: 521      | Bucket B: 501      | 扫描次数 (A*B): 261,021     
  [Pairing] Bucket A: 521      | Bucket B: 459      | 扫描次数 (A*B): 239,139     
  [Pairing] Bucket A: 465      | Bucket B: 459      | 扫描次数 (A*B): 213,435     
  [Pairing] Bucket A: 465      | Bucket B: 466      | 扫描次数 (A*B): 216,690     
  [Pairing] Bucket A: 465      | Bucket B: 466      | 扫描次数 (A*B): 216,690     
  [Pairing] Bucket A: 465      | Bucket B: 480      | 扫描次数 (A*B): 223,200     
  [Pairing] Bucket A: 499      | Bucket B: 480      | 扫描次数 (A*B): 239,520     
  [Pairing] Bucket A: 501      | Bucket B: 480      | 扫描次数 (A*B): 240,480     
  [Pairing] Bucket A: 501      | Bucket B: 509      | 扫描次数 (A*B): 255,009     
  [Pairing] Bucket A: 515      | Bucket B: 509      | 扫描次数 (A*B): 262,135     
